clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000002668AFEC0,4,bufwrite,2,4,3,3
000000026696D060,4,bufwrite,4,3,4,0
0000000266A71520,5,bufwrite,3,1,3,0
0000000266A77B40,5,bufwrite,4,3,4,3
0000000266AE8C20,5,bufwrite,2,4,3,3
0000000266B398E0,5,bufwrite,4,3,4,1
0000000266B89580,5,bufwrite,2,4,3,1
0000000266BD5B80,5,bufwrite,4,3,4,7
0000000266C29460,5,bufwrite,2,4,3,7
0000000266C96E00,5,bufwrite,4,3,4,6
0000000266CC8000,5,bufwrite,2,4,3,6
0000000266CFE000,5,bufwrite,4,3,4,1
0000000266D27800,5,bufwrite,2,4,3,1
0000000266D8ABA0,5,bufwrite,4,3,4,3
0000000266DE2220,5,bufwrite,2,4,3,3
0000000266E21380,5,bufwrite,4,3,4,7
0000000266E4A1E0,5,bufwrite,2,4,3,7
0000000266E987E0,5,bufwrite,4,3,4,2
0000000266ED6BE0,5,bufwrite,2,4,3,2
0000000266F62EE0,5,bufwrite,4,3,4,2
0000000266F95F20,5,bufwrite,2,4,3,2
0000000266FC7A60,5,bufwrite,4,3,4,5
0000000267017FA0,5,bufwrite,2,4,3,5
0000000267056A60,5,bufwrite,4,3,4,4
000000026708C680,5,bufwrite,2,4,3,4
00000002670D3AE0,5,bufwrite,4,3,4,7
000000026710A500,5,bufwrite,2,4,3,7
0000000267153540,5,bufwrite,4,3,4,1
0000000267185420,5,bufwrite,2,4,3,1
00000002671DD820,5,bufwrite,4,3,4,2
00000002672084A0,6,bufwrite,3,1,3,0
000000026720A900,5,bufwrite,2,4,3,2
0000000267240B40,6,bufwrite,4,3,4,5
0000000267251E60,5,bufwrite,4,3,4,1
00000002672854C0,5,bufwrite,2,4,3,1
00000002672879C0,6,bufwrite,2,4,3,5
00000002672C9060,5,bufwrite,4,3,4,4
00000002672D86E0,6,bufwrite,4,3,4,2
00000002672F2560,5,bufwrite,2,4,3,4
0000000267311C20,6,bufwrite,2,4,3,2
000000026732BDA0,5,bufwrite,4,3,4,1
000000026733DBC0,6,bufwrite,4,3,4,2
0000000267349C60,5,bufwrite,2,4,3,1
000000026736C680,6,bufwrite,2,4,3,2
00000002673962C0,5,bufwrite,4,3,4,5
00000002673AD020,6,bufwrite,4,3,4,1
00000002673D47E0,5,bufwrite,2,4,3,5
00000002673D84A0,6,bufwrite,2,4,3,1
00000002674169C0,5,bufwrite,4,3,4,4
000000026743CFA0,5,bufwrite,2,4,3,4
0000000267453240,6,bufwrite,4,3,4,1
0000000267475D40,6,bufwrite,2,4,3,1
0000000267478A60,5,bufwrite,4,3,4,2
00000002674ACC80,5,bufwrite,2,4,3,2
00000002674C3A20,6,bufwrite,4,3,4,4
00000002674F5B80,5,bufwrite,4,3,4,7
00000002674F7340,6,bufwrite,2,4,3,4
000000026752B7E0,5,bufwrite,2,4,3,7
000000026755E380,5,bufwrite,4,3,4,5
00000002675665C0,6,bufwrite,4,3,4,1
000000026758BDA0,5,bufwrite,2,4,3,5
00000002675A3200,6,bufwrite,2,4,3,1
00000002675C7D40,5,bufwrite,4,3,4,7
00000002675E2CA0,6,bufwrite,4,3,4,2
00000002675EA720,5,bufwrite,2,4,3,7
00000002676154E0,6,bufwrite,2,4,3,2
0000000267628000,5,bufwrite,4,3,4,1
0000000267656F20,5,bufwrite,2,4,3,1
0000000267678700,6,bufwrite,4,3,4,4
00000002676958A0,6,bufwrite,2,4,3,4
00000002676AA7E0,5,bufwrite,4,3,4,7
00000002676C3100,6,bufwrite,4,3,4,1
00000002676D4660,5,bufwrite,2,4,3,7
00000002676FBC60,6,bufwrite,2,4,3,1
0000000267712D20,5,bufwrite,4,3,4,2
0000000267735BA0,5,bufwrite,2,4,3,2
0000000267738EE0,6,bufwrite,4,3,4,5
000000026775C860,6,bufwrite,2,4,3,5
000000026776D800,5,bufwrite,4,3,4,6
000000026778CCC0,5,bufwrite,2,4,3,6
00000002677933C0,6,bufwrite,4,3,4,3
00000002677C39C0,6,bufwrite,2,4,3,3
00000002677E1540,5,bufwrite,4,3,4,6
0000000267809E20,5,bufwrite,2,4,3,6
