clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
000000011B09E697,35,bufwrite,2,4,3,0
000000011B0A2AB8,26,bufwrite,2,4,3,2
000000011B0C0DCA,24,bufwrite,2,4,3,5
000000011B0C6767,17,bufwrite,2,4,3,7
000000011B0F8157,29,bufwrite,4,3,4,4
000000011B11A9F8,10,bufwrite,4,3,4,3
000000011B11F780,8,bufwrite,4,3,4,1
000000011B120FF1,16,bufwrite,2,4,3,6
000000011B14814A,15,bufwrite,4,3,4,5
000000011B148F58,10,bufwrite,2,4,3,3
000000011B14D3A7,28,bufwrite,4,3,4,7
000000011B14E317,29,bufwrite,2,4,3,4
000000011B18C917,5,bufwrite,4,3,4,0
000000011B190F2A,15,bufwrite,2,4,3,5
000000011B1ABF51,33,bufwrite,4,3,4,6
000000011B1D64B7,5,bufwrite,2,4,3,0
000000011B1EAA77,14,bufwrite,4,3,4,4
000000011B1F8478,9,bufwrite,4,3,4,2
000000011B1F9940,8,bufwrite,2,4,3,1
000000011B1FDC51,33,bufwrite,2,4,3,6
000000011B200E78,19,bufwrite,4,3,4,3
000000011B204BEA,32,bufwrite,4,3,4,5
000000011B207247,28,bufwrite,2,4,3,7
000000011B24A638,9,bufwrite,2,4,3,2
000000011B24DEAA,32,bufwrite,2,4,3,5
000000011B2531F7,14,bufwrite,2,4,3,4
000000011B284591,6,bufwrite,4,3,4,6
000000011B2D8E0A,7,bufwrite,4,3,4,5
000000011B2DD8E7,11,bufwrite,4,3,4,7
000000011B2EB1D7,23,bufwrite,4,3,4,4
000000011B2EC678,19,bufwrite,2,4,3,3
000000011B2EFBA0,34,bufwrite,4,3,4,1
000000011B2F0F31,6,bufwrite,2,4,3,6
000000011B2F33B8,20,bufwrite,4,3,4,2
000000011B30530A,7,bufwrite,2,4,3,5
000000011B3099C7,11,bufwrite,2,4,3,7
000000011B313857,23,bufwrite,2,4,3,4
000000011B35E74A,24,bufwrite,4,3,4,5
